fall2018,ENGR,101,"Ironside, Allyson Jo"
fall2018,ENGR,111,"Martin, Kenneth Grant"
fall2018,ENGR,112,"Al-Abdrabbuh, Sami Ahmad"
fall2018,ENGR,201,"Johnston, Matthew Leigh"
fall2018,ENGR,201H,"Johnston, Matthew Leigh"
fall2018,ENGR,203,"Mayaram, Kartikeya"
fall2018,ENGR,211,"Martin, Kenneth Grant"
fall2018,ENGR,211H,"Scott, Michael H"
fall2018,ENGR,212,"Fillo, Aaron Jesse"
fall2018,ENGR,213,"Greene, Rawley B"
fall2018,ENGR,248,"Demirel, Onan"
fall2018,ENGR,350,"AuYeung, Nicholas J"
fall2018,ENGR,390,"De Szoeke, Paula"
fall2018,ENGR,391,"Natarajan, Ganapathy"
fall2018,ENGR,550,"Cordes, Amanda Ann"
fall2018,ENGR,599,"Hughes, Anita L"
spring2021,ENGR,202,"Scheel, Ingrid Udd"
spring2021,ENGR,203,"Mayaram, Kartikeya"
spring2021,ENGR,211,"Miller, Thomas H"
spring2021,ENGR,212,"Galvez, Cristhian"
spring2021,ENGR,212H,"Niemeyer, Kyle"
spring2021,ENGR,213,"Greene, Rawley B"
spring2021,ENGR,248,"Fan, Andy"
spring2021,ENGR,390,"De Szoeke, Paula"
spring2021,ENGR,415,"Paasch, Robert K"
spring2021,ENGR,416,"Paasch, Robert K"
spring2021,ENGR,520,"Hughes, Anita L"
spring2021,ENGR,521,"Hughes, Anita L"
spring2021,ENGR,555,"Montfort, Devlin B"
